"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2021,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur Registrat",60
2021,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur Registrat",266
2021,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Atur Registrat",234
2021,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Atur Registrat",364
2021,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Atur Registrat",632
2021,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Atur Registrat",583
2021,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Atur Registrat",383
2021,1,6,"Gràcia",29,"el Coll","Homes","Atur Registrat",158
2021,1,6,"Gràcia",30,"la Salut","Homes","Atur Registrat",331
2021,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Atur Registrat",1255
2021,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Atur Registrat",799
2021,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Atur Registrat",609
2021,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Atur Registrat",238
2021,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Atur Registrat",940
2021,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Atur Registrat",284
2021,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Atur Registrat",971
2021,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Atur Registrat",330
2021,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Atur Registrat",206
2021,1,7,"Horta-Guinardó",40,"Montbau","Homes","Atur Registrat",149
2021,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Atur Registrat",159
2021,1,7,"Horta-Guinardó",42,"la Clota","Homes","Atur Registrat",11
2021,1,7,"Horta-Guinardó",43,"Horta","Homes","Atur Registrat",818
2021,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Atur Registrat",760
2021,1,8,"Nou Barris",45,"Porta","Homes","Atur Registrat",738
2021,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Atur Registrat",474
2021,1,8,"Nou Barris",47,"Can Peguera","Homes","Atur Registrat",66
2021,1,8,"Nou Barris",48,"la Guineueta","Homes","Atur Registrat",527
2021,1,8,"Nou Barris",49,"Canyelles","Homes","Atur Registrat",257
2021,1,8,"Nou Barris",50,"les Roquetes","Homes","Atur Registrat",557
2021,1,8,"Nou Barris",51,"Verdun","Homes","Atur Registrat",427
2021,1,8,"Nou Barris",52,"la Prosperitat","Homes","Atur Registrat",830
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Atur Registrat",402
2021,1,8,"Nou Barris",54,"Torre Baró","Homes","Atur Registrat",112
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Atur Registrat",584
2021,1,8,"Nou Barris",56,"Vallbona","Homes","Atur Registrat",68
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Atur Registrat",542
2021,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Atur Registrat",64
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Atur Registrat",361
2021,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Atur Registrat",1462
2021,1,9,"Sant Andreu",61,"la Sagrera","Homes","Atur Registrat",744
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Atur Registrat",362
